MatchType;MatchValue;IDE;Target;Publisher;ExtensionId;DisplayName;LatestVersion;InstallCount;AverageRating;RatingCount;MarketplaceTags;MarketplaceUrl
Tag;llama;VSCode;Microsoft.VisualStudio.Code;DSAI;dsai-cline;DSAI-cline(中英文双语版);1.1.2;1843;5;1;;https://marketplace.visualstudio.com/items?itemName=DSAI.dsai-cline
Tag;ai;VSCode;Microsoft.VisualStudio.Code;DTDucas;ai-commit-dtducas;AI Commit Generator - DTDucas;1.0.2;78;;;;https://marketplace.visualstudio.com/items?itemName=DTDucas.ai-commit-dtducas
Tag;gemini;VSCode;Microsoft.VisualStudio.Code;DTDucas;ai-commit-dtducas;AI Commit Generator - DTDucas;1.0.2;78;;;;https://marketplace.visualstudio.com/items?itemName=DTDucas.ai-commit-dtducas
Tag;ai;VSCode;Microsoft.VisualStudio.Code;DTI-Technologies;scale-ai-assistant;Scale;1.5.1;46;;;;https://marketplace.visualstudio.com/items?itemName=DTI-Technologies.scale-ai-assistant
Tag;chatgpt;VSCode;Microsoft.VisualStudio.Code;DVYIO;combine-open-files;Combine Open Files;1.0.0;88;;;;https://marketplace.visualstudio.com/items?itemName=DVYIO.combine-open-files
Tag;llm;VSCode;Microsoft.VisualStudio.Code;DVYIO;combine-open-files;Combine Open Files;1.0.0;88;;;;https://marketplace.visualstudio.com/items?itemName=DVYIO.combine-open-files
Tag;ai;VSCode;Microsoft.VisualStudio.Code;DabwitsoMweemba;emoji-eraser;Emoji Eraser — Clean AI-generated code artifacts instantly;1.1.1;62;5;1;;https://marketplace.visualstudio.com/items?itemName=DabwitsoMweemba.emoji-eraser
Tag;copilot;VSCode;Microsoft.VisualStudio.Code;DabwitsoMweemba;emoji-eraser;Emoji Eraser — Clean AI-generated code artifacts instantly;1.1.1;62;5;1;;https://marketplace.visualstudio.com/items?itemName=DabwitsoMweemba.emoji-eraser
Category;AI;VSCode;Microsoft.VisualStudio.Code;DaffaDev;coda-vscode;coda-vscode;0.0.4;40;5;1;;https://marketplace.visualstudio.com/items?itemName=DaffaDev.coda-vscode
Category;AI;VSCode;Microsoft.VisualStudio.Code;Damilola;code-pilot-ai;Code Pilot AI;1.4.0;25;;;;https://marketplace.visualstudio.com/items?itemName=Damilola.code-pilot-ai
Tag;ai;VSCode;Microsoft.VisualStudio.Code;DananjayaBandara;commitpilot;CommitPilot;1.0.1;9;;;;https://marketplace.visualstudio.com/items?itemName=DananjayaBandara.commitpilot
Tag;openai;VSCode;Microsoft.VisualStudio.Code;DananjayaBandara;commitpilot;CommitPilot;1.0.1;9;;;;https://marketplace.visualstudio.com/items?itemName=DananjayaBandara.commitpilot
Category;AI;VSCode;Microsoft.VisualStudio.Code;DanielMadsenDK;nowdev-ai-toolbox;NowDev AI Toolbox;0.1.3;10;;;;https://marketplace.visualstudio.com/items?itemName=DanielMadsenDK.nowdev-ai-toolbox
Tag;ai;VSCode;Microsoft.VisualStudio.Code;DanielMeCoss;dreamdocs;Dreamdocs;1.2.0;5;;;;https://marketplace.visualstudio.com/items?itemName=DanielMeCoss.dreamdocs
Tag;ai;VSCode;Microsoft.VisualStudio.Code;DanielSanMedium;dscodegpt;CodeGPT: Chat & AI Agents;3.14.252;2228955;3,51935482;310;;https://marketplace.visualstudio.com/items?itemName=DanielSanMedium.dscodegpt
